"ID","Title","Viewed","URL"
29816,"The Real Daughter Is Back","Chapter 48","https://www.manganato.gg/manga/the-real-daughter-is-back/chapter-48"
39638,"Genius Of The Unique Lineage","Chapter 99","https://www.manganato.gg/manga/genius-of-the-unique-lineage/chapter-99"
45487,"The Chaebeol's Youngest Son","Chapter 138","https://www.manganato.gg/manga/the-chaebeol-s-youngest-son/chapter-138"
35352,"My Magician Senior","Chapter 38","https://www.manganato.gg/manga/my-magician-senior/chapter-38"
31032,"Max Level Doctor Returns","Chapter 34","https://www.manganato.gg/manga/max-level-doctor-returns/chapter-34"
34322,"Becoming The Sacheon Dang's Swordsmaster-Rank Young Lord","Chapter 50","https://www.manganato.gg/manga/becoming-the-sacheon-dang-s-swordsmaster-rank-young-lord/chapter-50"
29740,"Villains Are Destined To Die","Chapter 97","https://www.manganato.gg/manga/villains-are-destined-to-die/chapter-97"
32909,"The Blood Princess And The Knight","Chapter 107","https://www.manganato.gg/manga/the-blood-princess-and-the-knight/chapter-107"
35149,"Solo Spell Caster","Chapter 93","https://www.manganato.gg/manga/solo-spell-caster/chapter-93"
4566,"From Goblin To Goblin God","Chapter 27","https://www.manganato.gg/manga/from-goblin-to-goblin-god/chapter-27"
38625,"The Reincarnated Assassin Is A Genius Swordsman","Chapter 43","https://www.manganato.gg/manga/the-reincarnated-assassin-is-a-genius-swordsman/chapter-43"
40009,"Time Limited Elixir Of The Fallen Sega","Chapter 41","https://www.manganato.gg/manga/time-limited-elixir-of-the-fallen-sega/chapter-41"
33787,"Transcension Academy","Chapter 133","https://www.manganato.gg/manga/transcension-academy/chapter-133"
34052,"A Genius Writer's Random Workplace","Chapter 75","https://www.manganato.gg/manga/a-genius-writer-s-random-workplace/chapter-75"
417,"Doctor, Go To Joseon","Chapter 36","https://www.manganato.gg/manga/doctor-go-to-joseon/chapter-36"
41775,"The Return Of The Disaster-Class Hero","Chapter 67","https://www.manganato.gg/manga/the-return-of-the-disaster-class-hero/chapter-67"
967,"High School Musical Genius Is Paganini Reincarnated","Chapter 42","https://www.manganato.gg/manga/high-school-musical-genius-is-paganini-reincarnated/chapter-42"
34865,"I Contracted Myself","Chapter 23","https://www.manganato.gg/manga/i-contracted-myself/chapter-23"
918,"Lord Of Money","Chapter 135","https://www.manganato.gg/manga/lord-of-money/chapter-135"
26803,"Everlasting God Of Sword","Chapter 163","https://www.manganato.gg/manga/everlasting-god-of-sword/chapter-163"
37769,"Isekai Maou To Shoukan Shoujo Dorei Majutsu","Chapter 93.3","https://www.manganato.gg/manga/isekai-maou-to-shoukan-shoujo-dorei-majutsu/chapter-93-3"
368,"Xten","Chapter 106","https://www.manganato.gg/manga/xten/chapter-106"
32,"The Unfavorable Job [Appraiser] Is Actually The Strongest","Chapter 92","https://www.manganato.gg/manga/the-unfavorable-job-appraiser-is-actually-the-strongest/chapter-92"
44039,"??? Rank no Ura Soubi Musou","Chapter 26","https://www.manganato.gg/manga/rank-no-ura-soubi-musou/chapter-26"
42698,"God Killer","Chapter 40","https://www.manganato.gg/manga/god-killer/chapter-40"
31587,"A Warrior Exiled By The Hero And His Lover","Chapter 17","https://www.manganato.gg/manga/a-warrior-exiled-by-the-hero-and-his-lover/chapter-17"
