title,md_id,markable,marked,missing
Dawn of the Predecessor,7788f789-dbba-4050-9e6e-bb1aad1ef3a1,0,0,unknown
Dr. Choi Giseok Levels Up,6d342a6b-d2ac-4a82-a3e6-233fc1cc9ff6,0,0,unknown
"Broadcast Genius, Youngest Writer",75391b19-37c3-4b15-b9ae-e362750b6422,32,0,3
The Legendary Mechanic,7a21e99a-98e6-461f-b7ac-43264ba9ea42,7,0,11
Overgeared,6ef19044-70d3-4e87-994b-4cc07ccd0810,0,0,unknown
"Han Daesung, Back From Hell",6dbc24cd-56ed-4171-83cd-8115ac0814b6,89,0,14
Gourmet Gaming,743311af-58a8-482d-b771-892830457057,0,0,unknown
Shikkaku-mon no Saikyou Kenja ~Sekai Saikyou no Kenja ga Sarani Tsuyoku Naru Tame ni Tensei Shimashita~,70fe972b-3c88-4165-b9a5-3db96d6d2c14,0,0,unknown
Bad Ending Maker,768c29d1-de1a-4b5f-9ce4-f024808d3edb,0,0,unknown
Daddy From Hell,79a7f7a5-06b4-4c57-8467-72374683fdd2,27,0,1
Kasei Madoushi no Isekai Seikatsu,700bd275-d17e-4fd6-be65-1994eceaf52d,20,0,1
The Fantasie of a Stepmother,73886188-f459-4b80-8781-66a60520b420,0,0,unknown
Talent Agent and the Threads of Fate,718e02a6-7dc1-4fe0-be28-77f7edecddfd,0,0,unknown
I Want to Be a Magic Blacksmith!,79fba185-fccf-4c95-b84e-15b478d08b24,0,0,unknown
The Max Level Returner,781032ee-4bbc-4f08-9464-903821acac7a,0,0,unknown
A Witch's Hopeless Wish,771ff508-3fd5-4de8-aca1-0b7e64c33c07,0,0,unknown
"Sekai Saikyou no Majo, Hajimemashita ~Watashi Dake ""Kouryaku Saito"" wo Miseru Sekai de Jiyuu ni Ikimasu~",6c079564-363d-4d95-9410-4a841e6a33fb,0,0,unknown
The Villainess Turns the Hourglass,73bc69fa-9ba9-4533-a243-ebc11651339f,0,0,unknown
"Reporting for Duty, Duchess!",79a9cce8-26f8-457b-935d-437149682855,0,0,unknown
"Kiwameta Renkinjutsu ni, Fukanou wa nai. ~Bannou Skill de Isekai Musou~",787968ec-8903-4af0-9e6b-22d82a0da8d5,0,0,unknown
Lady Chef Royale,7647fe0b-576f-4616-9de8-d9998727ced4,0,0,unknown
Isekai Walking,72331318-7f5e-44b3-8510-12133149fde3,0,0,unknown
Fire Punch,6fef1f74-a0ad-4f0d-99db-d32a7cd24098,0,0,unknown
I Married the Male Lead's Dad,7b7ea081-437c-4b8d-9274-84b12457dea5,0,0,unknown
2.5 Jigen no Ririsa,7bf163e3-123a-41c1-b2bc-8254dbe5a09b,0,0,unknown
Golden Kamuy,8847f905-550d-4fe6-bcda-ac2b896789c7,0,0,unknown
Tsuihou Sareta Tensei Juukishi wa Game Sashiki de Musou Suru,7c5ee2ae-5bed-4e72-8d75-91e3b8e9787a,0,0,unknown
That's My Atypical Girl,8ae4d0f6-152a-4956-8664-4405758d26ae,0,0,unknown
Accomplishments of the Duke's Daughter,8d163365-15a6-4031-8671-29a11e3b6d69,0,0,unknown
